,mostRelevantField,mostRelevantUni
414,Other,Other
415,Biology,Other
416,Finance,Other
417,Other,Other
418,Business,Other
419,Other,Other
420,Other,Other
421,Other,Other
422,Other,Other
423,Other,Other
424,Industrial Eng,Other
425,Mechanical Eng,Other
426,Other,Other
427,Other,Other
428,CS,Other
429,Business,Other
430,Business,Other
431,Business,Other
432,Biology,Other
433,Biology,Other
434,Biology,Other
435,CS,Other
436,Data Science,Other
437,Other,Other
438,CS,Other
439,Other,Other
440,Materials,Other
441,Materials,Other
442,Materials,Other
443,Business,Other
444,Business,Other
445,Other,Other
446,Data Science,Other
447,Mechanical Eng,Other
448,AI,Harvard
449,Business,Other
450,Business,Other
451,Biology,Dartmouth
452,Business,Dartmouth
453,Other,Dartmouth
454,CS,Dartmouth
455,CS,Dartmouth
456,Other,Dartmouth
457,Business,Dartmouth
458,Business,Dartmouth
459,Business,Dartmouth
460,Business,Dartmouth
461,Finance,Dartmouth
462,Other,Dartmouth
463,Other,Dartmouth
464,Other,Dartmouth
465,Biology,Dartmouth
466,Biology,Dartmouth
467,Other,Dartmouth
468,Other,Dartmouth
469,Other,Dartmouth
470,CS,Dartmouth
471,CS,Dartmouth
472,CS,Dartmouth
473,CS,Dartmouth
474,CS,Dartmouth
475,CS,Dartmouth
476,CS,Dartmouth
477,Data Science,Dartmouth
478,Other,Dartmouth
479,Finance,Dartmouth
480,CS,Dartmouth
481,Finance,Dartmouth
482,Finance,Dartmouth
483,Finance,Dartmouth
484,Electrical Eng,Dartmouth
485,Other,Dartmouth
486,Other,Dartmouth
487,Other,Dartmouth
488,Other,Dartmouth
489,Other,Dartmouth
490,Other,Dartmouth
491,Other,Dartmouth
492,Other,Dartmouth
493,Other,Dartmouth
494,Finance,Dartmouth
495,Other,Dartmouth
496,Other,Dartmouth
497,Business,Dartmouth
498,Other,Dartmouth
499,Other,Other
500,Electrical Eng,Other
501,Business,Other
502,Other,Other
503,Marketing,Other
504,Other,Other
505,Other,Other
506,Biology,Other
507,Biology,Other
508,Business,Other
509,Business,Other
510,Business,Other
511,Policital Sci,Other
512,Business,Other
513,Business,Other
514,Other,Other
515,Biology,Other
516,Biology,Other
517,Biology,Other
518,Data Science,Other
519,Business,Other
520,Data Science,Other
521,Business,Other
522,Business,Other
523,Business,Other
524,Business,Other
525,Business,Other
526,Business,Other
527,Business,Other
528,Biology,Other
529,Other,Other
530,Other,Other
531,Other,Other
532,Other,Other
533,Other,Other
534,Marketing,Other
535,Other,Other
536,Other,Other
537,Other,Other
538,Other,Other
539,Other,Other
540,Other,Other
541,Other,Other
542,Marketing,Other
543,Other,Other
544,Biology,Other
545,Finance,Other
546,Biology,Other
547,Other,Other
548,Data Science,Other
549,Business,Other
550,Other,Other
551,Other,Other
552,Biology,Other
553,CS,Other
554,Business,Other
555,Other,Other
556,Other,Other
557,Mechanical Eng,Other
558,Marketing,Other
559,CS,Other
560,Other,Other
561,Mechanical Eng,Other
562,Other,Other
563,Other,Other
564,Biology,Other
565,Other,Other
566,Other,Other
567,Other,Other
568,Business,Other
569,Other,Other
570,Physics,Other
571,Other,Other
572,Finance,Other
573,Physics,Other
574,CS,Other
575,Policital Sci,Other
576,Other,Other
577,Physics,Other
578,Other,Other
579,Business,Other
580,Other,Other
581,Other,Other
582,Marketing,Other
583,Data Science,Other
584,Finance,Other
585,Finance,Other
586,Other,Other
587,Business,Other
588,Data Science,Other
589,Finance,Other
590,Business,Other
591,Finance,Other
592,Business,Other
593,Other,Other
594,Finance,Other
595,Other,Other
596,Law,Other
597,Other,Other
598,Other,Other
599,Business,Other
600,Business,Other
601,Business,Other
602,Business,Other
603,Business,Other
604,Business,Other
605,Policital Sci,Other
606,Other,Other
607,Other,Other
608,Other,Other
609,Business,Other
610,Other,Other
611,Other,Other
612,CS,Other
613,CS,Other
614,CS,Other
615,Electrical Eng,Other
616,Industrial Eng,Other
617,Business,Other
618,Materials,Other
619,Mechanical Eng,Other
620,Mechanical Eng,Other
621,Finance,Other
622,Law,Other
623,Other,Other
624,Mechanical Eng,BU
625,Other,Other
626,CS,Other
627,Finance,Other
628,Business,Other
629,Other,Other
630,Other,Other
631,Biology,Other
632,Other,Harvard
633,Other,Harvard
634,Other,Harvard
635,Other,Harvard
636,Other,Harvard
637,Other,Harvard
638,Finance,Harvard
639,Finance,Harvard
640,CS,Harvard
641,CS,Harvard
642,Mechanical Eng,Harvard
643,Other,Harvard
644,Biology,Harvard
645,CS,Harvard
646,Physics,Harvard
647,Other,Harvard
648,Business,Harvard
649,Biology,Harvard
650,Biology,Harvard
651,Biology,Harvard
652,Biology,Harvard
653,Biology,Harvard
654,Biology,Harvard
655,Biology,Harvard
656,Biology,Harvard
657,Biology,Harvard
658,Biology,Harvard
659,Biology,Harvard
660,Business,Harvard
661,Business,Harvard
662,Biology,Harvard
663,Physics,Harvard
664,Other,Harvard
665,Other,Harvard
666,Other,Harvard
667,Other,Harvard
668,Other,Harvard
669,Other,Harvard
670,Other,Harvard
671,Materials,Harvard
672,CS,Harvard
673,CS,Harvard
674,CS,Harvard
675,CS,Harvard
676,CS,Harvard
677,CS,Harvard
678,CS,Harvard
679,CS,Harvard
680,CS,Harvard
681,CS,Harvard
682,CS,Harvard
683,CS,Harvard
684,Other,Harvard
685,Other,Harvard
686,Data Science,Harvard
687,Data Science,Harvard
688,Other,Harvard
689,Business,Harvard
690,Marketing,Harvard
691,Finance,Harvard
692,Finance,Harvard
693,Finance,Harvard
694,Finance,Harvard
695,Finance,Harvard
696,Finance,Harvard
697,Finance,Harvard
698,Finance,Harvard
699,Finance,Harvard
700,Finance,Harvard
701,Finance,Harvard
702,Finance,Harvard
703,Finance,Harvard
704,Finance,Harvard
705,Finance,Harvard
706,Finance,Harvard
707,Finance,Harvard
708,Finance,Harvard
709,Finance,Harvard
710,Other,Harvard
711,Other,Harvard
712,Finance,Harvard
713,Electrical Eng,Harvard
714,Other,Harvard
715,Other,Harvard
716,Other,Harvard
717,Other,Harvard
718,Other,Harvard
719,Other,Harvard
720,Finance,Harvard
721,Other,Harvard
722,Other,Harvard
723,Other,Harvard
724,Policital Sci,Harvard
725,Other,Harvard
726,Other,Harvard
727,Other,Harvard
728,Other,Harvard
729,Other,Harvard
730,Other,Harvard
731,Other,Harvard
732,Other,Harvard
733,Biology,Harvard
734,Biology,Harvard
735,Biology,Harvard
736,Biology,Harvard
737,Other,Harvard
738,Industrial Eng,Harvard
739,Other,Harvard
740,Other,Harvard
741,Other,Harvard
742,Law,Harvard
743,Law,Harvard
744,Business,Harvard
745,Business,Harvard
746,Other,Harvard
747,Law,Harvard
748,Other,Harvard
749,Other,Harvard
750,Other,Harvard
751,Materials,Harvard
752,Other,Harvard
753,Other,Harvard
754,Other,Harvard
755,Other,Harvard
756,Other,Harvard
757,Mechanical Eng,Harvard
758,Mechanical Eng,Harvard
759,Mechanical Eng,Harvard
760,Mechanical Eng,Harvard
761,Mechanical Eng,Harvard
762,Mechanical Eng,Harvard
763,Mechanical Eng,Harvard
764,Mechanical Eng,Harvard
765,Other,Harvard
766,Other,Harvard
767,Biology,Harvard
768,Other,Harvard
769,Biology,Harvard
770,Other,Harvard
771,Business,Harvard
772,Business,Harvard
773,Business,Harvard
774,Other,Harvard
775,Other,Harvard
776,Other,Harvard
777,Other,Harvard
778,Other,Harvard
779,Other,Harvard
780,Other,Harvard
781,Other,Harvard
782,Physics,Harvard
783,Physics,Harvard
784,Physics,Harvard
785,Physics,Harvard
786,Physics,Harvard
787,CS,Harvard
788,Other,Harvard
789,Other,Harvard
790,Other,Harvard
791,Other,Harvard
792,Other,Harvard
793,Other,Harvard
794,Business,Harvard
795,Other,Harvard
796,Other,Harvard
797,Other,Harvard
798,Other,Harvard
799,Other,Harvard
800,Other,Harvard
801,Other,Harvard
802,Other,Harvard
803,Other,Harvard
804,Other,Harvard
805,Other,Harvard
806,Biology,Harvard
807,Other,Harvard
808,Other,Harvard
809,Other,Harvard
810,Other,Harvard
811,Other,Harvard
812,Other,Harvard
813,Other,Harvard
814,Other,Harvard
815,Other,Harvard
816,Biology,MIT
817,Aero,Harvard
818,Business,Harvard
819,Business,Harvard
820,Business,Harvard
821,Business,Harvard
822,Business,Harvard
823,Business,Harvard
824,Physics,Harvard
825,Other,Harvard
826,CS,Harvard
827,Other,Harvard
828,Finance,Harvard
829,Biology,Harvard
830,Other,Harvard
831,Other,Harvard
832,Policital Sci,Harvard
833,CS,Harvard
834,Other,Harvard
835,Other,Harvard
836,Other,Harvard
837,Other,Harvard
838,Other,Harvard
839,Business,Harvard
840,Other,Harvard
841,Other,Harvard
842,Other,Harvard
843,Other,Harvard
844,Other,Harvard
845,Other,Harvard
846,Policital Sci,Harvard
847,Other,Harvard
848,Other,Harvard
849,Business,Harvard
850,Business,Harvard
851,Law,Harvard
852,Law,Harvard
853,Law,Harvard
854,Law,Harvard
855,Other,Harvard
856,Biology,Harvard
857,Biology,Harvard
858,Other,Harvard
859,Other,Harvard
860,Other,Harvard
861,Biology,Harvard
862,Other,Harvard
863,Biology,Harvard
864,Other,Harvard
865,Other,Harvard
866,Biology,Harvard
867,Business,Harvard
868,Data Science,Harvard
869,Other,Harvard
870,Business,Harvard
871,Physics,Harvard
872,Biology,Harvard
873,Biology,Harvard
874,Other,Harvard
875,Other,Harvard
876,Finance,Harvard
877,Other,Harvard
878,Materials,Harvard
879,Other,Harvard
880,Physics,Harvard
881,Biology,Harvard
882,Biology,Harvard
883,Biology,Harvard
884,Other,Harvard
885,Biology,Harvard
886,CS,Harvard
887,CS,Harvard
888,Finance,Harvard
889,Data Science,Harvard
890,Data Science,Harvard
891,Data Science,Harvard
892,Data Science,Harvard
893,Other,Harvard
894,Other,Harvard
895,Other,Harvard
896,Other,Harvard
897,Finance,Harvard
898,Finance,Harvard
899,Finance,Harvard
900,Finance,Harvard
901,Finance,Harvard
902,Finance,Harvard
903,Finance,Harvard
904,Other,Harvard
905,Electrical Eng,Harvard
906,Other,Harvard
907,Other,Harvard
908,Finance,Harvard
909,Business,Harvard
910,Data Science,Harvard
911,Other,Harvard
912,Other,Harvard
913,Finance,Harvard
914,Other,Harvard
915,Other,Harvard
916,Other,Harvard
917,Law,Harvard
918,Law,Harvard
919,Other,Harvard
920,Business,Harvard
921,Other,Harvard
922,Materials,Harvard
923,Materials,Harvard
924,Other,Harvard
925,Other,Harvard
926,Mechanical Eng,Harvard
927,Biology,Harvard
928,Other,Harvard
929,Physics,Harvard
930,Other,Harvard
931,Other,Harvard
932,Physics,Harvard
933,Physics,Harvard
934,Other,Harvard
935,Other,Harvard
936,Other,Harvard
937,Other,Harvard
938,Other,Harvard
939,Mechanical Eng,Harvard
940,Biology,Harvard
941,Biology,Harvard
942,Other,MIT
943,Other,Harvard
944,Business,Other
945,Business,Other
946,Business,Other
947,Business,Other
948,Business,Other
949,Business,Other
950,Business,Other
951,Other,Other
952,Business,Other
953,Finance,Other
954,Business,Other
955,Other,Other
956,Business,Brandeis
957,Other,Other
958,Other,Other
959,Other,Other
960,Other,Other
961,Other,Other
962,Other,Other
963,Business,NYU
964,Other,Other
965,Biology,Other
966,Other,Other
967,Other,Other
968,Biology,Other
969,Biology,Other
970,Business,Other
971,CS,Other
972,Other,Other
973,Mechanical Eng,Other
974,Other,Other
975,Finance,Hult Business
976,Business,Hult Business
977,Business,Hult Business
978,Finance,Hult Business
979,Business,Hult Business
980,Business,Hult Business
981,Business,Hult Business
982,Business,Hult Business
983,Data Science,Hult Business
984,Data Science,Hult Business
985,Data Science,Hult Business
986,Data Science,Hult Business
987,Data Science,Hult Business
988,Data Science,Hult Business
989,Data Science,Hult Business
990,Data Science,Hult Business
991,Data Science,Hult Business
992,Business,Hult Business
993,Other,Hult Business
994,Finance,Hult Business
995,Finance,Hult Business
996,Finance,Hult Business
997,Finance,Hult Business
998,Finance,Hult Business
999,Finance,Hult Business
1000,Business,Hult Business
1001,Data Science,Hult Business
1002,Business,Hult Business
1003,Business,Hult Business
1004,Marketing,Hult Business
1005,Marketing,Hult Business
1006,Data Science,Hult Business
1007,Business,Hult Business
1008,Business,Hult Business
1009,Finance,Hult Business
1010,Business,Hult Business
1011,Business,Hult Business
1012,Business,Hult Business
1013,Business,Hult Business
1014,Business,Hult Business
1015,Business,Hult Business
1016,Business,Hult Business
1017,Business,Hult Business
1018,Business,Hult Business
1019,Business,Hult Business
1020,Data Science,Hult Business
1021,Business,Hult Business
1022,Data Science,Hult Business
1023,Other,Hult Business
1024,Business,Hult Business
1025,Other,Other
1026,Biology,Other
1027,Business,Other
1028,Other,Other
1029,Other,Other
1030,Biology,Other
1031,Other,Other
1032,Aero,Other
1033,Mechanical Eng,Other
1034,Mechanical Eng,Other
1035,Other,Other
1036,Finance,Other
1037,Other,Other
1038,Business,Other
1039,Biology,Other
1040,Business,Other
1041,Other,Other
1042,Electrical Eng,Other
1043,CS,Other
1044,Business,Other
1045,Marketing,Other
1046,Other,Other
1047,Business,Other
1048,Biology,Other
1049,Business,Other
1050,Industrial Eng,Other
1051,CS,Other
1052,Physics,Other
1053,Mechanical Eng,Other
1054,Other,Other
1055,Biology,Other
1056,Electrical Eng,Other
1057,Other,Other
1058,Biology,Other
1059,Other,Other
1060,Data Science,Other
1061,Biology,Other
1062,Business,Other
1063,Business,Other
1064,Business,Other
1065,Other,Other
1066,Business,Other
1067,Physics,Other
1068,Mechanical Eng,Other
1069,Other,Other
1070,Other,Other
1071,Business,Other
1072,Chemistry,Other
1073,Other,Other
1074,Other,Other
1075,Marketing,Other
1076,Business,Other
1077,Other,Other
1078,Mechanical Eng,Other
1079,Other,Other
1080,Data Science,Other
1081,Civil Eng,Other
1082,Other,Other
1083,Other,Other
1084,Other,Other
1085,Mechanical Eng,Other
1086,Policital Sci,Other
1087,Finance,Other
1088,Other,Other
1089,Physics,Other
1090,Business,Other
1091,Civil Eng,Other
1092,CS,Other
1093,Data Science,Other
1094,Other,Other
1095,Other,Other
1096,Biology,Harvard
1097,Business,MIT
1098,CS,MIT
1099,Other,MIT
1100,Biology,Other
1101,Other,Other
1102,AI,Other
1103,Biology,Other
1104,Biology,Other
1105,Biology,Other
1106,Other,Other
1107,Biology,Other
1108,Other,Other
1109,Other,Other
1110,Other,Other
1111,Other,Other
1112,Other,Other
1113,Other,Other
1114,Other,Other
1115,Civil Eng,Other
1116,Electrical Eng,Other
1117,Mechanical Eng,Other
1118,Biology,Other
1119,Other,Other
1120,Other,Other
1121,Biology,Other
1122,Mechanical Eng,Other
1123,Mechanical Eng,Other
1124,Other,Other
1125,Electrical Eng,Other
1126,CS,Other
1127,Data Science,Other
1128,CS,Other
1129,Other,MIT
1130,Other,MIT
1131,Other,MIT
1132,Other,MIT
1133,Other,MIT
1134,Other,MIT
1135,Other,MIT
1136,Other,MIT
1137,Chemistry,MIT
1138,Physics,MIT
1139,Aero,MIT
1140,Aero,MIT
1141,Other,MIT
1142,Other,MIT
1143,Mechanical Eng,MIT
1144,Other,MIT
1145,Materials,MIT
1146,Materials,MIT
1147,Other,MIT
1148,CS,MIT
1149,CS,MIT
1150,CS,MIT
1151,CS,MIT
1152,Biology,MIT
1153,Biology,MIT
1154,Other,MIT
1155,Data Science,MIT
1156,Other,MIT
1157,Other,MIT
1158,Other,MIT
1159,Other,MIT
1160,Other,MIT
1161,Other,MIT
1162,Other,MIT
1163,Other,MIT
1164,Other,MIT
1165,Other,MIT
1166,CS,MIT
1167,Other,MIT
1168,Aero,MIT
1169,Aero,MIT
1170,Aero,MIT
1171,Aero,MIT
1172,Aero,MIT
1173,Aero,MIT
1174,Aero,MIT
1175,Aero,MIT
1176,Aero,MIT
1177,Aero,MIT
1178,Aero,MIT
1179,Aero,MIT
1180,Aero,MIT
1181,Aero,MIT
1182,Other,MIT
1183,Data Science,MIT
1184,Other,MIT
1185,Other,MIT
1186,Mechanical Eng,MIT
1187,Other,MIT
1188,Other,MIT
1189,Other,MIT
1190,Other,MIT
1191,Other,MIT
1192,Other,MIT
1193,Other,MIT
1194,Other,MIT
1195,Other,MIT
1196,Business,MIT
1197,Other,MIT
1198,Mechanical Eng,MIT
1199,Aero,MIT
1200,Other,MIT
1201,Physics,MIT
1202,Physics,MIT
1203,Other,MIT
1204,Business,MIT
1205,Other,MIT
1206,Biology,MIT
1207,Biology,MIT
1208,Biology,MIT
1209,Biology,MIT
1210,Biology,MIT
1211,Biology,MIT
1212,Biology,MIT
1213,Biology,MIT
1214,Biology,MIT
1215,Biology,MIT
1216,Biology,MIT
1217,Biology,MIT
1218,Biology,MIT
1219,Biology,MIT
1220,Biology,MIT
1221,Biology,MIT
1222,Biology,MIT
1223,Biology,MIT
1224,Biology,MIT
1225,AI,MIT
1226,Biology,MIT
1227,Biology,MIT
1228,Biology,MIT
1229,Biology,MIT
1230,Biology,MIT
1231,Biology,MIT
1232,Biology,MIT
1233,Biology,MIT
1234,Biology,MIT
1235,Biology,MIT
1236,Biology,MIT
1237,Biology,MIT
1238,Other,MIT
1239,Other,MIT
1240,Other,MIT
1241,Other,MIT
1242,Other,MIT
1243,Other,MIT
1244,Other,MIT
1245,Other,MIT
1246,Business,MIT
1247,Business,MIT
1248,Business,MIT
1249,Business,MIT
1250,Business,MIT
1251,Data Science,MIT
1252,Data Science,MIT
1253,Data Science,MIT
1254,Business,MIT
1255,Business,MIT
1256,Business,MIT
1257,Business,MIT
1258,Business,MIT
1259,Other,MIT
1260,Other,MIT
1261,Biology,MIT
1262,Chemistry,MIT
1263,Chemistry,MIT
1264,Chemistry,MIT
1265,Chemistry,MIT
1266,Chemistry,MIT
1267,Chemistry,MIT
1268,Chemistry,MIT
1269,Chemistry,MIT
1270,Chemistry,MIT
1271,Chemistry,MIT
1272,Chemistry,MIT
1273,Chemistry,MIT
1274,Chemistry,MIT
1275,Chemistry,MIT
1276,Chemistry,MIT
1277,Chemistry,MIT
1278,Chemistry,MIT
1279,Chemistry,MIT
1280,Chemistry,MIT
1281,Chemistry,MIT
1282,Chemistry,MIT
1283,Chemistry,MIT
1284,Chemistry,MIT
1285,Chemistry,MIT
1286,Chemistry,MIT
1287,Biology,MIT
1288,Biology,MIT
1289,Biology,MIT
1290,Other,MIT
1291,Other,MIT
1292,Other,MIT
1293,Other,MIT
1294,Other,MIT
1295,Other,MIT
1296,Biology,MIT
1297,Biology,MIT
1298,Other,MIT
1299,Materials,MIT
1300,Chemistry,MIT
1301,Other,MIT
1302,Other,MIT
1303,Civil Eng,MIT
1304,Civil Eng,MIT
1305,Civil Eng,MIT
1306,Civil Eng,MIT
1307,Civil Eng,MIT
1308,Civil Eng,MIT
1309,Civil Eng,MIT
1310,Civil Eng,MIT
1311,Civil Eng,MIT
1312,Civil Eng,MIT
1313,Civil Eng,MIT
1314,Other,MIT
1315,Other,MIT
1316,Other,MIT
1317,CS,MIT
1318,Other,MIT
1319,Other,MIT
1320,Other,MIT
1321,Other,MIT
1322,Other,MIT
1323,Other,MIT
1324,Other,MIT
1325,Biology,MIT
1326,Other,MIT
1327,Other,MIT
1328,Other,MIT
1329,Other,MIT
1330,Other,MIT
1331,CS,MIT
1332,CS,MIT
1333,CS,MIT
1334,CS,MIT
1335,CS,MIT
1336,CS,MIT
1337,CS,MIT
1338,CS,MIT
1339,CS,MIT
1340,CS,MIT
1341,CS,MIT
1342,CS,MIT
1343,CS,MIT
1344,CS,MIT
1345,CS,MIT
1346,CS,MIT
1347,CS,MIT
1348,CS,MIT
1349,CS,MIT
1350,CS,MIT
1351,CS,MIT
1352,CS,MIT
1353,CS,MIT
1354,CS,MIT
1355,CS,MIT
1356,CS,MIT
1357,CS,MIT
1358,CS,MIT
1359,CS,MIT
1360,CS,MIT
1361,CS,MIT
1362,CS,MIT
1363,CS,MIT
1364,CS,MIT
1365,CS,MIT
1366,CS,MIT
1367,CS,MIT
1368,CS,MIT
1369,CS,MIT
1370,CS,MIT
1371,CS,MIT
1372,CS,MIT
1373,Data Science,MIT
1374,CS,MIT
1375,CS,MIT
1376,CS,MIT
1377,CS,MIT
1378,Biology,MIT
