,Candidate ID,mostRelevantField,mostRelevantUni,highestDegree
96,5e4c25403acdaa00d34d7a5c,Finance,Other,Bachelors
97,5e4f0bccd00f9f00d3d5b353,Other,Other,High school
98,5e4c49c53acdaa00d34d7b4f,AI,MIT,Masters
99,5e42ee178dbee800dd1d8f31,Other,NYU,Masters
100,5e501fcb5eb42900d3c0ba67,Other,Northeastern,Masters
101,5e42da948dbee800dd1d8f0c,Data Science,Other,Other
102,5e2f2a708dbee800dd1d7681,CS,NYU,Masters
103,5e419b0e8dbee800dd1d8cc3,Business,Hult Business,MBA
104,5e4dc0733acdaa00d34d82e8,Finance,MIT,Masters
105,5e323baf8dbee800dd1d79c5,Other,Northeastern,Masters
106,5e44eb4e8dbee800dd1d9475,Business,NYU,Masters
107,5e284d418dbee800dd1d70b7,CS,Other,Masters
108,5e2f38ff8dbee800dd1d768d,Electrical Eng,NYU,Masters
109,5e4c28563acdaa00d34d7a6c,Physics,Harvard,Bachelors
110,5e5058d37504bb00d2f54531,Biology,MIT,Postdoc
111,5e28a77e8dbee800dd1d715c,Policital Sci,Harvard,PhD
112,5e4d501b3acdaa00d34d7ff7,Other,BU,Masters
113,5e50b47c6b8e7400d252f6d5,Data Science,MIT,High school
114,5e4a164a3acdaa00d34d7189,Finance,Other,Masters
115,5e503d116b8e7400d252f463,Biology,Harvard,Postdoc
116,5e3b4bda8dbee800dd1d85ca,Mechanical Eng,Other,Masters
117,5e2521238dbee800dd1d6e36,Business,Harvard,MBA
118,5e4a3c443acdaa00d34d71b6,Aero,MIT,Masters
119,5e501e93cb31a300d2831695,CS,MIT,Bachelors
120,5e446ed58dbee800dd1d93c3,Data Science,MIT,Masters
121,5e1e52058dbee800dd1d6b43,Data Science,Dartmouth,Bachelors
122,5e41f3518dbee800dd1d8d50,Business,Hult Business,Bachelors
123,5e4818633acdaa00d34d6e66,Other,Harvard,MD
124,5e514df5cb31a300d2831c84,Other,Other,Other
125,5e4f6786d00f9f00d3d5b6e1,AI,Harvard,MD
126,5e3a32b08dbee800dd1d83b1,Finance,Other,MBA
127,5e3989178dbee800dd1d821e,Biology,Harvard,Postdoc
128,5e40a4b48dbee800dd1d8b91,Business,MIT,Masters
129,5e515aea5eb42900d3c0c0b0,Biology,Other,Masters
130,5e3b06fe8dbee800dd1d852e,Biology,Other,Masters
131,5e3c25ca8dbee800dd1d8705,Business,Hult Business,Bachelors
132,5e39e0ff8dbee800dd1d833f,Biology,MIT,Bachelors
133,5e515d8b5eb42900d3c0c0cd,Other,Other,Other
134,5e3717198dbee800dd1d7e2a,CS,Other,Bachelors
135,5e502f157504bb00d2f544a0,Biology,Harvard,Postdoc
136,5e50baa47504bb00d2f5471e,Business,MIT,Bachelors
137,5e431bed8dbee800dd1d8fe3,Data Science,Hult Business,Masters
138,5e3ae7d78dbee800dd1d84ca,Finance,Brandeis,Bachelors
139,5e3865508dbee800dd1d8080,Data Science,BU,Bachelors
140,5e3f09988dbee800dd1d8a99,Business,Hult Business,Masters
141,5e3429808dbee800dd1d7c4e,Biology,MIT,Postdoc
142,5e516ba16b8e7400d252fb55,Other,Other,Other
143,5e50915dcb31a300d2831813,CS,Other,PhD
144,5e50a0a16b8e7400d252f60e,Mechanical Eng,BU,Bachelors
145,5e4e39863acdaa00d34d85b2,Other,Harvard,PhD
146,5e502d516b8e7400d252f44c,Biology,Other,Masters
147,5e4bff263acdaa00d34d797b,Other,Tufts,Masters
148,5e48c5d03acdaa00d34d6f63,Marketing,Other,Bachelors
149,5e39a74e8dbee800dd1d8287,Finance,Harvard,Masters
150,5e44229e8dbee800dd1d92fd,Electrical Eng,MIT,Bachelors
151,5e34afeb8dbee800dd1d7cef,Biology,MIT,Bachelors
152,5e4ca4093acdaa00d34d7d60,Business,MIT,MBA
153,5e29cf468dbee800dd1d729c,AI,MIT,Bachelors
154,5e50971c7504bb00d2f54603,Biology,Tufts,PhD
155,5e27369b8dbee800dd1d6fbe,Policital Sci,NYU,Bachelors
156,5e40df6c8dbee800dd1d8bb4,CS,Other,Other
157,5e49bcea3acdaa00d34d70ab,AI,Hult Business,PhD
158,5e2870a98dbee800dd1d711b,AI,Hult Business,MBA
159,5e17725d8dbee800dd1d691d,Business,UMass Amherst,MBA
160,5e4483128dbee800dd1d93e4,Marketing,Other,Bachelors
161,5e31bb4a8dbee800dd1d7970,Electrical Eng,NYU,Masters
162,5e2f58738dbee800dd1d7751,Electrical Eng,Other,Bachelors
163,5e448f728dbee800dd1d93f2,Data Science,Other,MBA
164,5e3dd1778dbee800dd1d89d1,Biology,Harvard,PhD
165,5e3dc5ba8dbee800dd1d89c4,Biology,Harvard,PhD
166,5e40c5ae8dbee800dd1d8ba2,Electrical Eng,MIT,MBA
167,5e500555d00f9f00d3d5ba1d,Policital Sci,Harvard,Bachelors
168,5e515ffe6b8e7400d252fadb,Other,Other,Other
169,5e2f93ac8dbee800dd1d7781,Business,MIT,MBA
170,5e448f8e8dbee800dd1d93f5,Business,NYU,Masters
171,5e4d9aaa3acdaa00d34d8239,Materials,MIT,Masters
172,5e30bfaa8dbee800dd1d789b,Biology,Other,Masters
173,5e47618b3acdaa00d34d6e01,Business,Other,MBA
174,5e4cc1533acdaa00d34d7db1,Biology,Other,Bachelors
175,5e5020275eb42900d3c0ba6a,AI,MIT,Bachelors
176,5e4d616f3acdaa00d34d80a2,Business,Hult Business,Masters
177,5e500bcfd00f9f00d3d5ba6e,Other,Other,Postdoc
178,5e3a3e468dbee800dd1d83b7,Biology,MIT,Bachelors
179,5e4fd4a0d00f9f00d3d5b812,Finance,Other,Bachelors
180,5e1469bc8dbee800dd1d67e5,Finance,Other,Other
181,5e2611358dbee800dd1d6ee0,Business,Hult Business,MBA
182,5e4e9b6fd00f9f00d3d5ae27,Electrical Eng,Other,Masters
183,5e4d5e5c3acdaa00d34d807f,Other,BU,Masters
184,5e4c30883acdaa00d34d7aba,CS,Other,Bachelors
185,5e4ae7cb3acdaa00d34d7504,Other,Other,Bachelors
186,5e4ffc8ed00f9f00d3d5b98d,Biology,Other,PhD
187,5e2fa28d8dbee800dd1d7788,Finance,BU,Bachelors
188,5e506d0c6b8e7400d252f52a,Mechanical Eng,Other,PhD
189,5e4c51253acdaa00d34d7b68,CS,Harvard,Bachelors
190,5e49f8ea3acdaa00d34d7144,CS,Harvard,Bachelors
191,5e4cd6fc3acdaa00d34d7df4,Other,Harvard,Masters
192,5e38995e8dbee800dd1d80d3,Electrical Eng,Other,Masters
193,5e4e0e3f3acdaa00d34d8587,Mechanical Eng,Northeastern,Masters
194,5e4d69b73acdaa00d34d80d7,Finance,Hult Business,Masters
195,5e3ef42e8dbee800dd1d8a93,Data Science,MIT,Masters
196,5e4a9b313acdaa00d34d733a,Data Science,UConn,MBA
197,5e4f4afdd00f9f00d3d5b54a,CS,Other,Masters
198,5e1e436c8dbee800dd1d6b3b,Data Science,NYU,Bachelors
199,5e4fe75dd00f9f00d3d5b8d8,Business,UMass Amherst,Bachelors
200,5e4999ca3acdaa00d34d7032,Electrical Eng,Other,Bachelors
201,5e3b953e8dbee800dd1d8610,CS,NYU,Masters
202,5e515d0f6b8e7400d252fab2,Other,Other,Other
203,5e4179648dbee800dd1d8c70,Other,Northeastern,Bachelors
204,5e4d42c13acdaa00d34d7fa3,Business,MIT,Masters
205,5e330cb98dbee800dd1d7a92,Biology,Other,Postdoc
206,5e358f7d8dbee800dd1d7d41,Business,MIT,Masters
207,5e4ebb01d00f9f00d3d5affd,Industrial Eng,Northeastern,Masters
208,5e3c6da78dbee800dd1d87fd,Data Science,Northeastern,Masters
209,5e3085298dbee800dd1d781e,Other,NYU,Other
210,5e48961b3acdaa00d34d6f20,Business,MIT,MBA
211,5e3648248dbee800dd1d7de7,Electrical Eng,MIT,Bachelors
212,5e4866143acdaa00d34d6ef7,Biology,BU,Bachelors
213,5e4634be3acdaa00d34d6ad2,Mechanical Eng,MIT,Masters
214,5e268c7f8dbee800dd1d6f1e,Electrical Eng,Northeastern,Masters
215,5e4ebe72d00f9f00d3d5b01e,Other,Harvard,Bachelors
216,5e4eadf1d00f9f00d3d5aef5,Other,Other,High school
217,5e36927c8dbee800dd1d7e00,CS,MIT,Bachelors
218,5e31fbf58dbee800dd1d79a8,AI,Harvard,Masters
219,5e46b1a73acdaa00d34d6bd1,Physics,Harvard,PhD
220,5e398c9a8dbee800dd1d822c,Physics,Harvard,Bachelors
221,5e4d5be23acdaa00d34d806c,Business,Hult Business,Bachelors
222,5de1ccda8dbee800dd1d6464,Mechanical Eng,MIT,Bachelors
223,5e366b4c8dbee800dd1d7df8,Other,Harvard,PhD
224,5e24a0aa8dbee800dd1d6dfa,Business,Hult Business,MBA
225,5e4d6bcc3acdaa00d34d80ef,Physics,Other,PhD
226,5e45f0e93acdaa00d34d6a6e,Business,MIT,Masters
227,5e4c90483acdaa00d34d7cd6,Chemistry,Other,Masters
228,5e4c0f7f3acdaa00d34d79da,Other,Harvard,High school
229,5e44743c8dbee800dd1d93d3,Business,Other,MBA
230,5e4d64943acdaa00d34d80b5,Business,Hult Business,Masters
231,5e5074e25eb42900d3c0bb6c,Data Science,Other,Masters
232,5e507d926b8e7400d252f54a,Other,Other,Masters
233,5e511d61cb31a300d2831a95,Biology,Other,Bachelors
234,5e2fa8bd8dbee800dd1d7791,Other,NYU,Bachelors
235,5e33303b8dbee800dd1d7b09,Data Science,Northeastern,Masters
236,5e398cf88dbee800dd1d822f,Physics,Harvard,Bachelors
237,5e2ded4e8dbee800dd1d750a,Marketing,Other,MBA
238,5e505c38cb31a300d2831758,Other,Other,Bachelors
239,5e2ccd528dbee800dd1d74d5,Mechanical Eng,Tufts,Masters
240,5e4ddfd43acdaa00d34d8367,Business,Hult Business,Masters
241,5e41c5828dbee800dd1d8d18,Business,Hult Business,Masters
242,5e41a9538dbee800dd1d8ce5,Finance,Other,MBA
243,5e384c8e8dbee800dd1d8049,Materials,Harvard,Postdoc
244,5e4e92d7d00f9f00d3d5ae0e,Finance,MIT,Bachelors
245,5e4e057d3acdaa00d34d8508,Business,Hult Business,Masters
246,5e4acbf73acdaa00d34d744f,Other,MIT,Bachelors
247,5e4b4c0a3acdaa00d34d76b4,Biology,MIT,Bachelors
248,5e39f0948dbee800dd1d8362,Electrical Eng,MIT,Postdoc
249,5e1e8eba8dbee800dd1d6b53,Data Science,Wellesley,High school
250,5e4df0f03acdaa00d34d8441,AI,Harvard,PhD
251,5e2a5afd8dbee800dd1d731e,Other,Other,Masters
252,5e3e38fe8dbee800dd1d8a68,Biology,Other,PhD
253,5e5004cdd00f9f00d3d5ba11,Other,Other,PhD
254,5e41b32f8dbee800dd1d8cf5,CS,Other,Masters
255,5e2b92558dbee800dd1d742d,Aero,BU,Masters
256,5e516b30cb31a300d2831dc2,CS,Other,Bachelors
257,5e3afe5d8dbee800dd1d84fa,Mechanical Eng,MIT,PhD
258,5e518182cb31a300d2831e9a,Other,Other,Other
259,5e50ca907504bb00d2f5477b,CS,Other,Bachelors
260,5e4b4f3d3acdaa00d34d76c1,CS,Tufts,Bachelors
261,5e49c54f3acdaa00d34d70ce,Business,Harvard,MBA
262,5e517801cb31a300d2831e2e,Other,Other,Other
263,5e3a2bae8dbee800dd1d83ae,Policital Sci,NYU,Bachelors
264,5e41bd258dbee800dd1d8d08,Business,Hult Business,MBA
265,5e4d6ae13acdaa00d34d80ea,Business,Other,MBA
266,5e2b61408dbee800dd1d73c8,Electrical Eng,Other,PhD
267,5e4f430dd00f9f00d3d5b51d,Other,UMass Amherst,Bachelors
268,5e50b9357504bb00d2f54719,Business,Other,Bachelors
269,5e4d55cc3acdaa00d34d802c,Business,Hult Business,MBA
270,5e3c06c88dbee800dd1d8680,Finance,Harvard,Bachelors
271,5e3f1fcb8dbee800dd1d8ab4,Finance,Harvard,Bachelors
272,5e1a8f8f8dbee800dd1d6a00,CS,Wellesley,High school
273,5e3e16fc8dbee800dd1d8a59,Materials,MIT,Postdoc
274,5e5166e65eb42900d3c0c14b,Other,Other,Other
275,5e4165558dbee800dd1d8c4a,Business,Other,MBA
276,5e517d2c5eb42900d3c0c21b,Other,Other,Other
277,5e27948a8dbee800dd1d7051,CS,UMass Boston,Bachelors
278,5e2f56668dbee800dd1d774b,Data Science,Northeastern,Masters
279,5e51872d5eb42900d3c0c26d,Other,Other,Other
280,5e4c5e373acdaa00d34d7bbb,Electrical Eng,Harvard,Bachelors
281,5e2095888dbee800dd1d6c4e,Other,Tufts,Masters
282,5e4c25b53acdaa00d34d7a61,CS,NYU,Masters
283,5e4d5b533acdaa00d34d8060,Mechanical Eng,MIT,PhD
284,5e307cc88dbee800dd1d7810,Data Science,NYU,Masters
285,5e33491a8dbee800dd1d7b1b,CS,MIT,Bachelors
286,5e4eb0e0d00f9f00d3d5af52,Biology,Harvard,Postdoc
287,5e49f9643acdaa00d34d7148,Business,Other,Masters
288,5e430ca88dbee800dd1d8faa,CS,NYU,Masters
289,5e3821308dbee800dd1d7ff0,Data Science,Northeastern,MBA
290,5e504245cb31a300d28316ef,Other,Harvard,Other
291,5e4d5d643acdaa00d34d807b,Mechanical Eng,MIT,Masters
292,5e4afe5f3acdaa00d34d75af,Other,MIT,Bachelors
293,5e2b49bc8dbee800dd1d73a3,Biology,BU,Postdoc
294,5e500296d00f9f00d3d5b9da,Other,MIT,Masters
295,5e517e49cb31a300d2831e73,Other,Other,Other
296,5e5123becb31a300d2831ab1,Other,MIT,Bachelors
297,5e36faa58dbee800dd1d7e18,Business,Other,MBA
298,5e4fcc38d00f9f00d3d5b7e7,Physics,Other,Masters
299,5e4d71bc3acdaa00d34d8115,Chemistry,Other,Masters
300,5e46d2913acdaa00d34d6c74,Finance,Other,Bachelors
301,5e5131c76b8e7400d252f8ae,Other,Other,Masters
302,5e4ecd24d00f9f00d3d5b0dd,CS,MIT,Bachelors
303,5e5189decb31a300d2831ee1,Other,Other,Other
304,5e515446cb31a300d2831cc9,Marketing,Other,Masters
305,5e3042a68dbee800dd1d77dd,Other,Harvard,Postdoc
306,5e41c9f28dbee800dd1d8d24,CS,MIT,Bachelors
307,5e4efaa5d00f9f00d3d5b2ca,CS,Harvard,Bachelors
308,5e5154cf7504bb00d2f54a70,Biology,Other,Bachelors
309,5e516a087504bb00d2f54b61,AI,Other,Bachelors
310,5e3c970b8dbee800dd1d8877,Finance,Other,Bachelors
311,5e30809e8dbee800dd1d7815,AI,NYU,Masters
312,5e50a0467504bb00d2f5462a,Business,Other,MBA
313,5e48501a3acdaa00d34d6ec1,Business,Other,MBA
314,5e4d54f03acdaa00d34d801e,CS,MIT,Bachelors
315,5e4dffc63acdaa00d34d84d7,Chemistry,Tufts,PhD
316,5e39d83d8dbee800dd1d8314,Finance,Harvard,Other
317,5e33f3ae8dbee800dd1d7b8d,Mechanical Eng,MIT,Bachelors
318,5e517087cb31a300d2831df9,Electrical Eng,Other,Bachelors
319,5e3305398dbee800dd1d7a82,Other,MIT,Masters
320,5e49c48c3acdaa00d34d70ca,Mechanical Eng,MIT,Bachelors
321,5e2a688d8dbee800dd1d7328,Mechanical Eng,BU,Bachelors
322,5e3bb1898dbee800dd1d8631,Business,MIT,MBA
323,5e440ea58dbee800dd1d92ae,Finance,Hult Business,Masters
324,5e4feda8d00f9f00d3d5b8fe,Biology,Harvard,PhD
325,5e4863f03acdaa00d34d6ef0,Biology,Harvard,Bachelors
326,5e506f4e5eb42900d3c0bb62,Other,Other,MD
327,5e40a86b8dbee800dd1d8b94,Other,Other,PhD
328,5e4d514c3acdaa00d34d8000,Other,MIT,Masters
329,5e2d8d808dbee800dd1d74ed,Data Science,NYU,Masters
330,5e28d9ad8dbee800dd1d7190,Other,NYU,Masters
331,5e39d96d8dbee800dd1d831a,CS,MIT,Bachelors
332,5e4d79bd3acdaa00d34d8140,Other,Northeastern,Other
333,5e4f4902d00f9f00d3d5b540,Other,Northeastern,Masters
334,5e4310938dbee800dd1d8fbb,Business,Hult Business,Masters
335,5e4c711b3acdaa00d34d7c34,Law,Harvard,Masters
336,5e49b0473acdaa00d34d7057,Business,Hult Business,Masters
337,5e0e576a8dbee800dd1d6741,Materials,Dartmouth,Bachelors
338,5e26f9528dbee800dd1d6f92,Biology,Other,Other
339,5e39e6b38dbee800dd1d8347,Biology,MIT,Bachelors
