,User ID,mostRelevantField,mostRelevantUni,highestDegree
258,148395,Other,Other,Masters
259,148398,Other,Other,Masters
260,148400,Aero,MIT,PhD
261,148407,Other,BU,Masters
262,148411,Mechanical Eng,BU,Masters
263,148412,Business,Other,Masters
264,148413,Finance,Other,Bachelors
265,148423,Finance,Other,Other
266,148425,CS,Harvard,Bachelors
267,148426,Other,Other,Other
268,148436,Other,Other,Bachelors
269,148442,Other,BU,Bachelors
270,148447,Finance,Other,Bachelors
271,148462,Other,MIT,MBA
272,148464,Physics,Other,Masters
273,148465,Law,NYU,Masters
274,148469,Finance,Other,Other
275,148470,Biology,Northeastern,Masters
276,148471,Other,Hult Business,MBA
277,148472,Other,Northeastern,Bachelors
278,148473,Other,Hult Business,MBA
279,148484,Other,Other,Other
280,148486,Biology,Harvard,Masters
281,148487,Other,Other,Masters
282,148493,Other,Hult Business,MBA
283,148494,Industrial Eng,Other,Masters
284,148506,CS,Other,Bachelors
285,148507,CS,NYU,Bachelors
286,148515,CS,NYU,Masters
287,148519,Other,Harvard,PhD
288,148523,Other,Other,PhD
289,148525,CS,NYU,Masters
290,148529,Biology,Other,Bachelors
291,148530,CS,NYU,Bachelors
292,148532,Mechanical Eng,MIT,Bachelors
293,148534,Other,Other,Masters
294,148537,Other,Other,Other
295,148539,Other,Harvard,Bachelors
296,148546,Other,WPI,Masters
297,148547,Other,Other,Other
298,148555,CS,MIT,Bachelors
299,148561,Other,Other,Bachelors
300,148562,CS,MIT,Bachelors
301,148564,CS,Other,Bachelors
302,148566,Mechanical Eng,BU,Bachelors
303,148572,Physics,Other,Other
304,148574,Chemistry,Other,Masters
305,148575,Chemistry,Other,Bachelors
306,148576,Other,Harvard,Bachelors
307,148578,CS,Other,Other
308,148579,Biology,Other,Bachelors
309,148583,CS,NYU,Bachelors
310,148584,Finance,Other,Other
311,148588,Aero,MIT,Masters
312,148590,CS,BU,Masters
313,148593,Other,Other,Bachelors
314,148594,Business,MIT,Masters
315,148595,Biology,Other,Bachelors
316,148597,Business,Other,Bachelors
317,148619,CS,Other,Bachelors
318,148672,Other,Other,Other
319,148674,Mechanical Eng,Other,Bachelors
320,148792,Mechanical Eng,NYU,Bachelors
321,148811,Business,Hult Business,Masters
322,148821,Other,Other,Masters
323,148828,Finance,Other,Masters
324,148849,Physics,Other,Other
325,148850,Other,Other,Other
326,148853,Other,BU,Masters
327,148854,Other,Other,Other
328,148862,Other,Hult Business,MBA
329,148869,Other,Hult Business,MBA
330,148870,Biology,Other,Bachelors
331,148871,Mechanical Eng,Other,Bachelors
332,148876,Biology,Other,Other
333,148882,Biology,Other,Bachelors
334,148889,Biology,MIT,Bachelors
335,148901,Biology,Other,Other
336,148908,Materials,Other,Other
337,148958,Other,MIT,MBA
338,148981,Business,Hult Business,Masters
339,148994,Mechanical Eng,Other,Bachelors
340,149014,Mechanical Eng,Other,Bachelors
341,149015,Biology,Other,Other
342,149016,Biology,Other,Other
343,149026,Biology,Other,Other
344,149030,Mechanical Eng,Other,Other
345,149039,Materials,MIT,Bachelors
346,149047,Other,Other,Bachelors
347,149057,Other,MIT,Masters
348,149058,Other,Other,Bachelors
349,149059,Business,Other,Other
350,149068,CS,Other,Bachelors
351,149069,Mechanical Eng,Other,Other
352,149072,Other,Northeastern,Bachelors
353,149073,Business,Other,Masters
354,149085,CS,Other,Bachelors
355,149086,CS,MIT,Masters
356,149087,Mechanical Eng,MIT,Masters
357,149090,Mechanical Eng,MIT,PhD
358,149092,Biology,MIT,Bachelors
359,149095,Electrical Eng,MIT,Bachelors
360,149096,CS,MIT,Bachelors
361,149097,Chemistry,Other,PhD
362,149099,Other,MIT,Bachelors
363,149101,Other,MIT,MBA
364,149102,CS,Tufts,Bachelors
365,149103,Finance,MIT,Masters
366,149104,Mechanical Eng,MIT,PhD
367,149105,Other,MIT,PhD
368,149106,Electrical Eng,MIT,PhD
369,149108,CS,Other,PhD
370,149115,Biology,MIT,Bachelors
371,149146,Physics,BU,PhD
372,149147,CS,MIT,Bachelors
373,149148,CS,MIT,PhD
374,149149,CS,MIT,Bachelors
375,149150,Physics,MIT,Bachelors
376,149151,Biology,MIT,Bachelors
377,149155,Biology,MIT,Bachelors
378,149162,Other,Other,Bachelors
379,149164,CS,MIT,Bachelors
380,149165,Finance,Other,Masters
381,149169,Finance,MIT,Masters
382,149171,Electrical Eng,Other,Masters
383,149172,CS,Other,Bachelors
384,149178,Electrical Eng,Other,Bachelors
385,149185,Other,Other,Bachelors
386,149219,Biology,Other,Masters
387,149222,Mechanical Eng,Other,PhD
388,149227,CS,Other,Bachelors
389,149247,Other,Northeastern,Masters
390,149249,Business,Northeastern,Masters
391,149250,Mechanical Eng,Northeastern,Masters
392,149251,Industrial Eng,Northeastern,Masters
393,149252,Other,Northeastern,Masters
394,149265,Data Science,Northeastern,Masters
395,149281,Business,Northeastern,Masters
396,149290,Business,Northeastern,Masters
397,149293,Other,Other,MBA
398,149296,Business,Other,Masters
399,149299,Business,Northeastern,Masters
400,149300,Business,Northeastern,Masters
401,149311,Other,UMass Amherst,Bachelors
402,149316,CS,Other,Masters
403,149321,Business,Northeastern,Masters
404,149325,Other,Northeastern,Masters
