,mostRelevantField,mostRelevantUni,highestDegree
209,CS,Northeastern,Masters
210,AI,Other,Masters
211,CS,Northeastern,Masters
212,Data Science,BU,Masters
213,CS,Other,Bachelors
214,Other,Other,Masters
215,CS,Northeastern,Masters
216,Mechanical Eng,Other,Postdoc
217,CS,MIT,Bachelors
218,Data Science,Northeastern,Masters
219,Other,MIT,Postdoc
220,Mechanical Eng,Northeastern,Bachelors
221,AI,Other,Postdoc
222,Business,Other,MBA
223,Biology,Northeastern,Masters
224,Data Science,Northeastern,Masters
225,CS,Northeastern,Masters
226,CS,Northeastern,Masters
227,Business,Boston College,MBA
228,Materials,MIT,PhD
229,Business,Northeastern,Masters
230,Other,Other,PhD
231,Other,Northeastern,Masters
232,CS,Northeastern,Bachelors
233,Data Science,Northeastern,Masters
234,CS,Northeastern,Masters
235,AI,MIT,Bachelors
236,CS,Other,Masters
237,Business,Northeastern,Masters
238,Industrial Eng,Northeastern,Masters
239,Other,MIT,Postdoc
240,Industrial Eng,Northeastern,Masters
241,Other,Northeastern,Masters
242,Biology,MIT,PhD
243,Business,Northeastern,Masters
244,CS,Northeastern,Masters
245,Business,MIT,Other
246,Data Science,Northeastern,Masters
247,Other,Northeastern,Masters
248,CS,Northeastern,Masters
249,Data Science,Northeastern,Masters
250,Business,Other,Other
251,CS,Northeastern,Masters
252,CS,Northeastern,Masters
253,Industrial Eng,Northeastern,Masters
254,Business,Northeastern,Masters
255,AI,MIT,Postdoc
256,Mechanical Eng,MIT,Masters
257,Other,Northeastern,Masters
258,CS,Northeastern,Masters
259,Other,MIT,Masters
260,Business,Northeastern,Masters
261,Data Science,Northeastern,Masters
262,CS,Northeastern,Masters
263,CS,Northeastern,Masters
264,CS,Other,Masters
265,CS,Northeastern,Masters
266,CS,Northeastern,Masters
267,AI,Northeastern,Masters
268,Data Science,Northeastern,Masters
269,AI,Other,Masters
270,CS,Northeastern,Masters
271,CS,Other,Masters
272,Industrial Eng,Northeastern,Masters
273,CS,Other,Masters
274,CS,BU,Masters
275,Data Science,Northeastern,Masters
276,Data Science,MIT,Masters
277,CS,BU,Masters
278,CS,BU,Masters
279,CS,Other,Bachelors
280,Data Science,Northeastern,Masters
281,CS,MIT,Bachelors
282,CS,Northeastern,Masters
283,CS,Northeastern,Masters
284,Chemistry,MIT,Postdoc
285,CS,Northeastern,Masters
286,CS,Northeastern,PhD
287,Data Science,Northeastern,Masters
288,Industrial Eng,Northeastern,Masters
289,Other,MIT,Masters
290,Biology,Northeastern,Masters
291,Other,Northeastern,Masters
292,Business,Northeastern,Masters
293,Business,Northeastern,Masters
294,CS,Northeastern,Masters
295,Electrical Eng,MIT,PhD
296,Business,Northeastern,Masters
297,CS,Northeastern,Masters
298,Business,Northeastern,Masters
299,Biology,Other,Bachelors
300,CS,Northeastern,Masters
301,Data Science,Northeastern,Masters
302,CS,Northeastern,Masters
303,CS,Northeastern,Masters
304,AI,Northeastern,Masters
305,Business,Northeastern,Masters
306,Other,MIT,Postdoc
307,Data Science,Northeastern,Masters
308,Data Science,Northeastern,Masters
309,Other,Northeastern,Masters
310,Physics,Other,Postdoc
311,Physics,MIT,PhD
312,Physics,Other,Bachelors
313,Other,Other,Other
314,Biology,MIT,PhD
315,Business,Northeastern,Masters
316,Other,Other,Postdoc
317,Other,Northeastern,Masters
318,CS,Northeastern,Masters
319,CS,Northeastern,Masters
320,Business,MIT,MBA
321,Data Science,Northeastern,Masters
322,Physics,MIT,Postdoc
323,Other,MIT,Bachelors
324,Chemistry,MIT,Postdoc
325,CS,Other,PhD
326,Other,Other,Bachelors
327,Biology,Other,Other
328,Other,Other,Postdoc
329,AI,NYU,Masters
330,Chemistry,MIT,Masters
331,Mechanical Eng,Northeastern,Bachelors
332,AI,Other,Bachelors
333,Other,MIT,Masters
334,Other,MIT,PhD
335,Mechanical Eng,MIT,Bachelors
336,Business,Other,MBA
337,Business,Other,MBA
338,Biology,Other,Other
339,Biology,Other,Postdoc
340,CS,Northeastern,Masters
341,Other,MIT,Masters
342,CS,BU,Masters
343,Other,NYU,Bachelors
344,CS,UMass Amherst,Bachelors
345,Business,Other,Bachelors
346,Other,Other,Bachelors
347,CS,Northeastern,Masters
348,Industrial Eng,Other,Masters
349,CS,Northeastern,Masters
350,Other,Tufts,Masters
351,Chemistry,NYU,Bachelors
352,CS,Northeastern,Masters
353,AI,MIT,PhD
354,Business,Northeastern,Bachelors
355,Civil Eng,Other,Other
356,Mechanical Eng,MIT,PhD
357,Business,BU,MBA
358,Business,Other,Bachelors
359,Chemistry,MIT,Bachelors
360,Biology,Other,Postdoc
361,Other,Northeastern,Masters
362,Other,Other,Masters
363,Other,BU,PhD
364,CS,Northeastern,Masters
365,Chemistry,MIT,Postdoc
366,Business,Boston College,MBA
367,CS,Northeastern,Masters
368,CS,Other,Masters
369,CS,BU,MBA
370,Electrical Eng,Other,Bachelors
371,Other,Other,Masters
372,Data Science,BU,Masters
373,CS,Other,Bachelors
374,Other,MIT,Postdoc
375,Data Science,Other,Other
376,Data Science,Northeastern,Masters
377,Physics,MIT,Bachelors
378,CS,BU,Masters
379,Data Science,WPI,Masters
380,CS,MIT,Other
381,Other,MIT,Postdoc
382,CS,BU,Masters
383,Data Science,Northeastern,Masters
384,Business,Other,MBA
385,Mechanical Eng,MIT,Bachelors
386,Data Science,Other,Masters
387,Data Science,Other,Masters
388,Biology,Other,Other
389,Biology,MIT,PhD
390,CS,MIT,Other
391,CS,Northeastern,Masters
392,Business,Northeastern,Masters
393,Other,Other,Bachelors
394,Business,MIT,Masters
395,CS,MIT,Other
396,CS,Northeastern,Masters
397,Mechanical Eng,Northeastern,Masters
